2026-02-13 15:11:22 | DEBUG    | netscope.storage.logger:setup_logging:53 | Log files: /Users/HP/Documents/zubabroadband/netdiag-cli/output/netscope.log, /Users/HP/Documents/zubabroadband/netdiag-cli/output/netscope_errors.log
2026-02-13 15:12:01 | INFO     | netscope.cli.main:_run_interactive:149 | NetScope exited normally
2026-02-13 15:14:35 | INFO     | netscope.storage.logger:setup_logging:52 | Logging initialized
2026-02-13 15:14:35 | DEBUG    | netscope.storage.logger:setup_logging:53 | Log files: /Users/HP/Documents/zubabroadband/netdiag-cli/output/netscope.log, /Users/HP/Documents/zubabroadband/netdiag-cli/output/netscope_errors.log
2026-02-13 15:14:59 | INFO     | netscope.cli.main:_run_interactive:149 | NetScope exited normally
2026-02-13 16:37:12 | INFO     | netscope.storage.logger:setup_logging:52 | Logging initialized
2026-02-13 16:37:12 | DEBUG    | netscope.storage.logger:setup_logging:53 | Log files: /Users/HP/Documents/zubabroadband/netdiag-cli/output/netscope.log, /Users/HP/Documents/zubabroadband/netdiag-cli/output/netscope_errors.log
2026-02-13 16:37:43 | INFO     | netscope.cli.main:_run_interactive:196 | Created test run directory: /Users/HP/Documents/zubabroadband/netdiag-cli/output/2026-02-13_163743_ping_test
2026-02-13 16:37:43 | DEBUG    | netscope.storage.csv_handler:_create_csv:43 | Created CSV file: /Users/HP/Documents/zubabroadband/netdiag-cli/output/2026-02-13_163743_ping_test/results.csv
2026-02-13 16:37:43 | INFO     | netscope.core.executor:run_command:54 | Executing command: ping -c 4 4.149.145.181
2026-02-13 16:37:57 | INFO     | netscope.core.executor:run_command:75 | Command completed: ping -c 4 4.149.145.181 (return code: 2, duration: 14.02s)
2026-02-13 16:38:09 | INFO     | netscope.cli.main:_run_interactive:378 | NetScope exited normally
